mcycle 202 nbants 20 alphat 1 beta 10.000000 rho 0.900000 tmax 1.000000
cardinalité ensemble Pareto 18 
 temps CPU 42.225000 
18.303783 16.079309 18.617227 
17.481095 18.168793 18.411784 
17.844188 17.737264 18.755905 
18.355473 15.941585 16.999227 
18.044674 17.472904 18.239571 
17.111534 17.777894 18.798239 
17.104809 17.935410 19.314708 
18.092736 16.785282 18.584538 
17.546823 16.325523 20.627417 
18.136470 16.518415 18.951976 
17.842562 17.016354 20.198510 
17.511495 17.743517 19.894672 
17.934296 17.723374 19.372563 
16.874611 17.956655 18.810778 
16.732501 16.457375 20.578383 
17.454537 17.619476 20.477540 
18.003966 17.455770 18.916887 
18.081430 16.762962 18.689424 
