mcycle 402 nbants 20 alphat 1 beta 10.000000 rho 0.900000 tmax 1.000000
cardinalité ensemble Pareto 246 
 temps CPU 28.331000 
40.873452 32.805480 46.504810 
39.064023 32.055732 46.712393 
40.222723 32.588998 46.635873 
39.064023 32.055732 46.712393 
40.222723 32.588998 46.635873 
39.089472 31.353220 46.749637 
40.591480 32.493201 46.558975 
39.103565 32.121741 46.674409 
40.183181 32.522989 46.673857 
39.064023 32.055732 46.712393 
40.197274 33.291510 46.598629 
39.103565 32.121741 46.674409 
39.087666 32.103138 46.694847 
40.513132 32.472979 46.656056 
40.197274 33.291510 46.598629 
40.270524 32.545245 46.523665 
40.761290 33.212262 46.367250 
39.064023 32.055732 46.712393 
40.275622 33.311732 46.501548 
40.547684 33.264873 46.385965 
40.275622 33.311732 46.501548 
40.626117 33.149868 46.378129 
40.552674 32.538988 46.618072 
40.806496 32.961123 46.505044 
40.241224 33.598191 46.389646 
40.437877 33.323369 46.493699 
40.513132 32.472979 46.656056 
40.197274 33.291510 46.598629 
40.030002 33.941417 46.358544 
40.275622 33.311732 46.501548 
40.173899 34.202077 46.241021 
39.886878 33.583511 46.466200 
40.030002 33.941417 46.358544 
39.869356 33.906866 46.377884 
40.030002 33.941417 46.358544 
40.641798 34.970098 45.856964 
39.876857 35.018150 45.947447 
40.137450 35.006680 46.019567 
39.869356 33.906866 46.377884 
39.259612 35.154028 45.948815 
38.764249 35.172027 45.871483 
39.870103 35.928870 45.271243 
40.236275 35.627189 45.033767 
39.481574 36.131987 44.760709 
39.632937 36.155658 44.667764 
39.803459 35.614572 45.451451 
39.486205 36.152051 44.713820 
39.305494 36.071021 45.233317 
39.965812 36.041648 44.744294 
39.486205 36.152051 44.713820 
39.305494 36.071021 45.233317 
39.486205 36.152051 44.713820 
39.508788 36.073696 45.087859 
40.820350 37.239752 43.714131 
39.632937 36.155658 44.667764 
41.015261 36.884819 43.320676 
40.984716 37.980931 43.078078 
40.331657 37.245948 43.804287 
40.481327 36.911413 44.033537 
40.334595 36.907806 44.079593 
40.617056 37.237077 43.859589 
40.620166 37.716404 43.163751 
40.292808 37.561966 43.183004 
40.626483 37.909324 43.079873 
41.398333 38.224971 42.210936 
41.154924 38.160671 42.460200 
39.573839 37.815318 43.117558 
40.256577 38.309704 42.274904 
40.256577 38.309704 42.274904 
41.154924 38.160671 42.460200 
40.256577 38.309704 42.274904 
40.871516 38.312914 42.270470 
40.697188 39.026577 41.469226 
40.569242 39.267791 41.393905 
40.124962 39.316845 41.250320 
40.146820 39.472761 41.033698 
39.911286 39.271856 41.354230 
39.814566 39.608846 41.117891 
39.427114 39.011828 41.828151 
40.042053 39.015038 41.823717 
39.814566 39.608846 41.117891 
40.094145 39.674288 40.813193 
39.814566 39.608846 41.117891 
40.839170 39.099865 41.007511 
39.662432 39.480628 41.231426 
39.753569 38.925527 42.024856 
40.116823 39.352449 41.288656 
40.357112 39.144484 41.707367 
40.658339 39.171449 41.292821 
39.911286 39.271856 41.354230 
39.911286 39.271856 41.354230 
40.807582 39.353527 41.158390 
40.468978 39.903801 39.779692 
40.265036 39.817889 40.568914 
40.468978 39.903801 39.779692 
40.238129 39.914239 40.035859 
39.909608 39.686996 40.827907 
39.683154 39.932633 40.196943 
40.238129 39.914239 40.035859 
40.619901 40.057969 39.161198 
41.017460 40.171377 38.813237 
41.052986 40.039926 38.760778 
40.833577 40.102958 39.057288 
40.238129 39.914239 40.035859 
41.052986 40.039926 38.760778 
40.468978 39.903801 39.779692 
39.928732 40.191789 39.190672 
40.274198 40.306649 38.920156 
39.424737 40.192686 39.398237 
39.928732 40.191789 39.190672 
40.445801 40.047245 39.850115 
40.274198 40.306649 38.920156 
40.018623 40.464161 37.635864 
40.274198 40.306649 38.920156 
40.274198 40.306649 38.920156 
40.802760 40.460401 38.620161 
39.567011 40.482968 38.076077 
40.018623 40.464161 37.635864 
38.919032 40.529722 37.388170 
40.042802 40.485214 37.579341 
40.042802 40.485214 37.579341 
39.267340 40.542041 36.632068 
39.759869 40.517750 36.540619 
39.545111 40.436424 38.696823 
39.545111 40.436424 38.696823 
40.802760 40.460401 38.620161 
40.018623 40.464161 37.635864 
40.802760 40.460401 38.620161 
40.018623 40.464161 37.635864 
40.042802 40.485214 37.579341 
40.042802 40.485214 37.579341 
39.935453 40.511119 37.630997 
39.267340 40.542041 36.632068 
39.267340 40.542041 36.632068 
40.905968 33.953979 46.267960 
40.513132 32.472979 46.656056 
40.469336 33.244651 46.483046 
40.469336 33.244651 46.483046 
40.545903 32.972593 46.432924 
39.816781 33.809681 46.398292 
40.197274 33.291510 46.598629 
40.437877 33.323369 46.493699 
40.745322 33.919428 46.287300 
40.270605 33.973276 46.253614 
40.109959 33.938725 46.272954 
40.109959 33.938725 46.272954 
40.270605 33.973276 46.253614 
39.965926 34.598874 46.210336 
40.273179 35.332344 45.845619 
40.270605 33.973276 46.253614 
39.805280 34.564323 46.229676 
40.470274 34.562292 46.047733 
40.527347 34.312240 46.228959 
39.805280 34.564323 46.229676 
40.137450 35.006680 46.019567 
40.030002 33.941417 46.358544 
40.137450 35.006680 46.019567 
39.259612 35.154028 45.948815 
39.937668 35.605881 45.299733 
40.273179 35.332344 45.845619 
40.137450 35.006680 46.019567 
39.635172 36.070917 45.311697 
40.137450 35.006680 46.019567 
40.036013 35.559132 45.242140 
40.220129 35.935152 45.079729 
39.486205 36.152051 44.713820 
40.590932 35.653535 44.795364 
39.655520 36.077303 45.041803 
40.680383 35.498298 44.209146 
39.632937 36.155658 44.667764 
39.632937 36.155658 44.667764 
39.486205 36.152051 44.713820 
40.448957 36.848434 44.488667 
39.305494 36.071021 45.233317 
39.137533 36.426546 44.668889 
40.470324 37.233470 43.905645 
40.334595 36.907806 44.079593 
40.245663 36.845759 44.634125 
39.481574 36.131987 44.760709 
40.546224 37.449067 43.168028 
40.681683 37.252230 43.612773 
40.331657 37.245948 43.804287 
40.987859 36.955460 43.575224 
40.546224 37.449067 43.168028 
40.534356 38.596442 42.248472 
40.197021 38.212912 42.693573 
40.534356 38.596442 42.248472 
40.871516 38.312914 42.270470 
40.838899 38.891653 42.111609 
40.893374 38.468830 42.053848 
40.124962 39.316845 41.250320 
40.124962 39.316845 41.250320 
40.146820 39.472761 41.033698 
39.569831 38.485247 42.663162 
40.569242 39.267791 41.393905 
39.814566 39.608846 41.117891 
40.042053 39.015038 41.823717 
39.814566 39.608846 41.117891 
39.296347 39.268646 41.358664 
39.814566 39.608846 41.117891 
40.146820 39.472761 41.033698 
41.424223 39.146573 40.064966 
40.357112 39.144484 41.707367 
40.441506 39.214876 41.626639 
41.019712 39.476834 40.844928 
39.911286 39.271856 41.354230 
40.813424 39.882470 40.356393 
41.298537 39.640332 40.749326 
40.445801 40.047245 39.850115 
40.238129 39.914239 40.035859 
40.265036 39.817889 40.568914 
40.682654 39.948790 39.675782 
40.544615 39.883331 40.264216 
40.238129 39.914239 40.035859 
41.126934 39.899736 39.819367 
40.682654 39.948790 39.675782 
40.652401 39.988575 39.395740 
40.241861 40.130517 38.932726 
41.054096 40.036775 38.850785 
41.159889 39.982879 39.373119 
40.468978 39.903801 39.779692 
40.468978 39.903801 39.779692 
41.126934 39.899736 39.819367 
40.499868 40.037537 39.480725 
40.014755 40.279675 39.087792 
40.274198 40.306649 38.920156 
40.682654 39.948790 39.675782 
41.182775 39.827396 38.696296 
40.014755 40.279675 39.087792 
40.478628 40.107490 39.293656 
39.267340 40.542041 36.632068 
40.855829 40.192477 38.837314 
39.759869 40.517750 36.540619 
39.935453 40.511119 37.630997 
39.935453 40.511119 37.630997 
41.124145 40.196208 38.019120 
39.935453 40.511119 37.630997 
39.267340 40.542041 36.632068 
39.935453 40.511119 37.630997 
39.935453 40.511119 37.630997 
39.267340 40.542041 36.632068 
39.267340 40.542041 36.632068 
40.840907 40.405667 38.690857 
40.626117 33.149868 46.378129 
40.236080 33.245723 46.539532 
40.236080 33.245723 46.539532 
mcycle 402 nbants 20 alphat 1 beta 10.000000 rho 0.900000 tmax 1.000000
cardinalité ensemble Pareto 244 
 temps CPU 34.515000 
40.591480 32.493201 46.558975 
40.513132 32.472979 46.656056 
39.087666 32.103138 46.694847 
39.103565 32.121741 46.674409 
39.089472 31.353220 46.749637 
40.197274 33.291510 46.598629 
39.087666 32.103138 46.694847 
39.064023 32.055732 46.712393 
40.222723 32.588998 46.635873 
40.494785 32.542139 46.520290 
39.103565 32.121741 46.674409 
39.064023 32.055732 46.712393 
40.469336 33.244651 46.483046 
40.831945 32.258611 46.542288 
39.064023 32.055732 46.712393 
40.183181 32.522989 46.673857 
39.103565 32.121741 46.674409 
39.064023 32.055732 46.712393 
39.103565 32.121741 46.674409 
40.806496 32.961123 46.505044 
40.222723 32.588998 46.635873 
40.552674 32.538988 46.618072 
40.377616 33.428938 46.293170 
39.103565 32.121741 46.674409 
40.469336 33.244651 46.483046 
40.275622 33.311732 46.501548 
40.942225 33.286787 46.331096 
39.816781 33.809681 46.398292 
40.552674 32.538988 46.618072 
40.241224 33.598191 46.389646 
40.545903 32.972593 46.432924 
40.275622 33.311732 46.501548 
40.197274 33.291510 46.598629 
39.886878 33.583511 46.466200 
40.030002 33.941417 46.358544 
40.030002 33.941417 46.358544 
40.513132 32.472979 46.656056 
40.626117 33.149868 46.378129 
40.527347 34.312240 46.228959 
40.030002 33.941417 46.358544 
39.869356 33.906866 46.377884 
40.270605 33.973276 46.253614 
39.997385 34.520156 46.199683 
40.030002 33.941417 46.358544 
40.273179 35.332344 45.845619 
40.289229 34.686725 45.397324 
39.965926 34.598874 46.210336 
39.685987 35.552850 45.433654 
39.876857 35.018150 45.947447 
40.137450 35.006680 46.019567 
39.708570 35.474495 45.807693 
40.293369 34.683511 45.644783 
40.137450 35.006680 46.019567 
39.876857 35.018150 45.947447 
40.084400 35.609488 45.253677 
39.823807 35.620958 45.181557 
39.677075 35.617351 45.227613 
40.348932 35.296477 44.926103 
39.677075 35.617351 45.227613 
39.998406 36.107378 44.798915 
40.348372 35.464328 44.708077 
40.799787 36.170332 43.720428 
39.305494 36.071021 45.233317 
40.052635 36.534240 44.590495 
39.635172 36.070917 45.311697 
39.481574 36.131987 44.760709 
40.052635 36.534240 44.590495 
40.209064 37.732595 43.146030 
39.481574 36.131987 44.760709 
39.997435 37.191334 44.057595 
40.199367 36.537847 44.544439 
40.681683 37.252230 43.612773 
40.626483 37.909324 43.079873 
40.772083 37.480532 43.013033 
40.481327 36.911413 44.033537 
40.470324 37.233470 43.905645 
40.331657 37.245948 43.804287 
40.546224 37.449067 43.168028 
41.154924 38.160671 42.460200 
41.154924 38.160671 42.460200 
40.672245 37.723035 42.724708 
40.398627 38.270778 42.422420 
40.643484 37.809269 42.873788 
40.546224 37.449067 43.168028 
41.154924 38.160671 42.460200 
40.871516 38.312914 42.270470 
40.871516 38.312914 42.270470 
40.534356 38.596442 42.248472 
40.838745 37.813300 42.493602 
40.838899 38.891653 42.111609 
39.814566 39.608846 41.117891 
40.943666 39.349376 41.321590 
39.427114 39.011828 41.828151 
39.814566 39.608846 41.117891 
39.814566 39.608846 41.117891 
40.561120 38.604915 42.138041 
38.878587 39.093143 41.649634 
39.814566 39.608846 41.117891 
39.312406 39.474346 41.422940 
40.265036 39.817889 40.568914 
40.838899 38.891653 42.111609 
40.594890 39.385099 41.608055 
40.238129 39.914239 40.035859 
40.813424 39.882470 40.356393 
40.014755 40.279675 39.087792 
39.963672 40.248620 39.154045 
38.811955 40.081049 39.438417 
40.813424 39.882470 40.356393 
40.014755 40.279675 39.087792 
40.265036 39.817889 40.568914 
39.928732 40.191789 39.190672 
39.424737 40.192686 39.398237 
40.014755 40.279675 39.087792 
40.014755 40.279675 39.087792 
40.682654 39.948790 39.675782 
40.855829 40.192477 38.837314 
38.706023 40.224643 39.230707 
40.092196 39.967989 40.158967 
40.619901 40.057969 39.161198 
39.928732 40.191789 39.190672 
40.014755 40.279675 39.087792 
39.567011 40.482968 38.076077 
38.919032 40.529722 37.388170 
39.267340 40.542041 36.632068 
39.935453 40.511119 37.630997 
39.267340 40.542041 36.632068 
40.982434 40.331132 37.376737 
39.545111 40.436424 38.696823 
39.267340 40.542041 36.632068 
39.267340 40.542041 36.632068 
39.836739 34.485605 46.219023 
40.245476 34.655904 45.958792 
40.197274 33.291510 46.598629 
40.905968 33.953979 46.267960 
40.905968 33.953979 46.267960 
39.869356 33.906866 46.377884 
40.270605 33.973276 46.253614 
39.869356 33.906866 46.377884 
40.470274 34.562292 46.047733 
40.109959 33.938725 46.272954 
39.869356 33.906866 46.377884 
39.997385 34.520156 46.199683 
40.030002 33.941417 46.358544 
39.876857 35.018150 45.947447 
39.805280 34.564323 46.229676 
39.965926 34.598874 46.210336 
38.707989 35.703360 45.730168 
40.137450 35.006680 46.019567 
39.876857 35.018150 45.947447 
40.137450 35.006680 46.019567 
40.527347 34.312240 46.228959 
39.805280 34.564323 46.229676 
40.137450 35.006680 46.019567 
39.259612 35.154028 45.948815 
40.137450 35.006680 46.019567 
39.937668 35.605881 45.299733 
39.937668 35.605881 45.299733 
39.823807 35.620958 45.181557 
39.823807 35.620958 45.181557 
39.655520 36.077303 45.041803 
39.926477 36.772926 44.403009 
39.677075 35.617351 45.227613 
39.259612 35.154028 45.948815 
39.305494 36.071021 45.233317 
39.305494 36.071021 45.233317 
40.313228 36.522770 44.662615 
40.199367 36.537847 44.544439 
40.987859 36.955460 43.575224 
39.481574 36.131987 44.760709 
39.128559 37.052691 44.492482 
39.508788 36.073696 45.087859 
40.334595 36.907806 44.079593 
39.700069 36.608571 44.446188 
40.331657 37.245948 43.804287 
39.656539 36.455953 44.728675 
41.322337 37.184405 43.233712 
40.199367 36.537847 44.544439 
40.292808 37.561966 43.183004 
40.209064 37.732595 43.146030 
40.684621 36.914088 43.888079 
40.620166 37.716404 43.163751 
40.661335 37.245844 43.882667 
40.987859 36.955460 43.575224 
40.256577 38.309704 42.274904 
40.871516 38.312914 42.270470 
40.847671 37.427201 42.824917 
40.861560 37.672527 42.611212 
40.861560 37.672527 42.611212 
40.197021 38.212912 42.693573 
40.871516 38.312914 42.270470 
40.042053 39.015038 41.823717 
40.976283 38.770637 41.480451 
40.394619 38.940707 41.968024 
40.639123 39.054165 41.458453 
39.171696 38.438827 42.586965 
39.908086 38.250877 42.424853 
40.042053 39.015038 41.823717 
40.042053 39.015038 41.823717 
40.042053 39.015038 41.823717 
39.662432 39.480628 41.231426 
40.094145 39.674288 40.813193 
39.459138 39.477953 41.376884 
40.544615 39.883331 40.264216 
41.298537 39.640332 40.749326 
40.796377 39.505832 41.054375 
41.298537 39.640332 40.749326 
41.298537 39.640332 40.749326 
40.468978 39.903801 39.779692 
40.682654 39.948790 39.675782 
40.238129 39.914239 40.035859 
